mu,nDCG_R1,nDCG_R2
1e-12,0.7280997500553178,0.7328539973763439
1e-10,0.7280997500553178,0.7328539973763439
1e-08,0.7280997500553178,0.7328539973763439
1e-06,0.7280997500553178,0.7328539973763439
0.0001,0.7278561039409249,0.7329053756505546
0.01,0.7328142987843929,0.7343070530765566
1.0,0.7378518407276362,0.7351364129767589
100.0,0.7377119103949074,0.7353126030955833
10000.0,0.7331273432212833,0.731146730231192
0.1,0.7356519641112153,0.7361843303873342
0.2,0.7317191733364341,0.7357816638633254
0.3,0.7319102306742733,0.7352924827889472
0.4,0.7320598921134843,0.735312336579859
0.5,0.7337406488697431,0.7353097530426659
0.6,0.7378911675390171,0.7352645666715192
0.7,0.7378518407276362,0.7352645666715192
0.8,0.7378518407276362,0.7351364129767589
0.9,0.7378518407276362,0.7351364129767589
1.0,0.7378518407276362,0.7351364129767589
